limiar,precisao,recall,f1,vp,fp,fn,vn,fp_distratores,recall_oculto_na_base
0.2,0.525,1.0,0.6885,63,57,0,0,26,1.0
0.25,0.525,1.0,0.6885,63,57,0,0,26,1.0
0.3,0.525,1.0,0.6885,63,57,0,0,26,1.0
0.35,0.525,1.0,0.6885,63,57,0,0,26,1.0
0.4,0.525,1.0,0.6885,63,57,0,0,26,1.0
0.45,0.5294,1.0,0.6923,63,56,0,1,26,1.0
0.5,0.5536,0.9841,0.7086,62,50,1,7,25,1.0
0.55,0.604,0.9683,0.7439,61,40,2,17,24,1.0
0.6,0.6186,0.9524,0.75,60,37,3,20,24,1.0
0.65,0.6705,0.9365,0.7815,59,29,4,28,21,1.0
0.7,0.7368,0.8889,0.8058,56,20,7,37,15,1.0
0.75,0.8448,0.7778,0.8099,49,9,14,48,6,0.8571
0.8,0.925,0.5873,0.7184,37,3,26,54,1,0.5714
